scalerank,labelrank,namealt,nameascii,sov0name,adm0name,latitude,longitude,pop_max,rank_max,min_zoom
"8","2",,Ruzayevka,Russia,Russia,54.06433432930,44.92437902710,"49311","7",7.0
"8","2",,Kirsanov,Russia,Russia,52.65739178380,42.71743363320,"17975","6",7.0
"8","2",,Michurinsk,Russia,Russia,52.89998679510,40.49999792360,"93499","8",6.1
"8","2",,Borisoglebsk,Russia,Russia,51.36871075350,42.08873815790,"68597","8",7.0
"8","2",,Oktyabrskiy,Russia,Russia,54.45996909500,53.45998205450,"108200","9",7.0
"8","2",,Plast,Russia,Russia,54.36850180980,60.80852575570,"17050","6",7.0
"8","2",,Bakal,Russia,Russia,54.94588258780,58.79588374720,"26559","7",7.0
"8","2",,Verkhniy Ufaley,Russia,Russia,56.06627931630,60.23130000700,"33879","7",7.0
"8","2",,Severnyy,Russia,Russia,67.60828798340,64.12325882860,"11562","6",7.0
"8","2",,Kirovo-Chepetsk,Russia,Russia,58.55437034010,50.04437658570,"90252","8",7.0
"8","2",,Krasnoturinsk,Russia,Russia,59.79478558260,60.48477290740,"64878","8",7.0
"8","2",,Asbest,Russia,Russia,57.02304262200,61.45804683310,"81248","8",7.0
"8","2",,Alapayevsk,Russia,Russia,57.84650657060,61.69152095420,"44000","7",7.0
"8","2",,Krasnouralsk,Russia,Russia,58.35151450510,60.05151769900,"20571","7",7.0
"8","2",,Severouralsk,Russia,Russia,60.15652060870,59.96154903040,"36138","7",7.0
"8","2",,Novotroitsk,Russia,Russia,51.20001304030,58.33002071010,"106186","9",7.0
"8","2",,Buguruslan,Russia,Russia,53.66301515620,52.43301631550,"53511","8",7.0
"8","2",,Chapayevsk,Russia,Russia,52.97432334300,49.72434444050,"107164","9",7.0
"8","2",,Syzran,Russia,Russia,53.16999615390,48.47997595090,"189338","9",6.1
"8","2",,Novokuybishevsk,Russia,Russia,53.11999920560,49.91993973670,"152334","9",7.0
"8","2",,Naberezhnyye Chelny,Russia,Russia,55.69999676420,52.31994828170,"461086","10",6.1
"8","2",,Zelenodolsk,Russia,Russia,55.84055666010,48.65500402710,"99600","8",7.0
"8","2",,Leninogorsk,Russia,Russia,54.59869447740,52.44872595090,"66263","8",6.1
"8","2",,Bugulma,Russia,Russia,54.55433026030,52.79428625370,"91900","8",7.0
"8","2",,Nefteyugansk,Russia,Russia,61.07765301430,72.70268347060,"112632","9",7.0
"8","2",,Leninsk Kuznetsky,Russia,Russia,54.66000856440,86.16997513730,"109023","9",7.0
"8","2",,Anzhero Sudzhensk,Russia,Russia,56.08002524730,86.04000891010,"83692","8",7.0
"8","2",,Kiselevsk,Russia,Russia,54.00002300930,86.64002396540,"104000","9",7.0
"8","2",,Mundybash,Russia,Russia,53.23327394520,87.31667516980,"5870","5",7.0
"8","2",,Chernogorsk,Russia,Russia,53.83132529610,91.22268998100,"71582","8",7.0
"8","2",,Abaza,Russia,Russia,52.66901898100,90.09536861060,"18094","6",7.0
"8","2",,Iskitim,Russia,Russia,54.65093935050,83.28653356830,"61827","8",7.0
"8","2",,Toguchin,Russia,Russia,55.23767356270,84.37768143610,"21886","7",7.0
"8","2",,Kupina,Russia,Russia,54.35922589020,77.27418737680,"16333","6",7.0
"8","8",,Alayat Samail,Oman,Oman,23.30318869930,57.97820755900,"47718","7",7.0
"8","2",,Zaozernyy,Russia,Russia,55.96197043770,94.70278763730,"33865","7",7.0
"8","2",,Bogotol,Russia,Russia,56.21647686680,89.51840124410,"23622","7",7.0
"8","2",,Shilka,Russia,Russia,51.87056642570,116.03063309600,"14132","6",7.0
"8","2",,Sherlovaya Gora,Russia,Russia,50.53059653640,116.30064245500,"411","2",7.0
"8","2",,Petrovsk Zabaykalskiy,Russia,Russia,51.28269533190,108.83267451900,"20889","7",7.0
"8","2",,Arsenyev,Russia,Russia,44.16230307930,133.28234492900,"58700","8",7.0
"8","2",,Partizansk,Russia,Russia,43.13487225250,133.13491206800,"42489","7",7.0
"8","2",,Dalnerechensk,Russia,Russia,45.92728578600,133.72231807400,"28300","7",7.0
"8","2",,Zemlya Bunge,Russia,Russia,74.89830812500,142.10501053800,"10","1",7.0
"8","2",,Khorgo,Russia,Russia,73.48330405600,113.63000443400,"10","1",7.0
"8","2",,Put Lenina,Russia,Russia,68.51663047200,107.79997269600,"298","2",7.0
"8","2",,Obluchye,Russia,Russia,48.99999228830,131.08330602900,"10000","5",7.0
"8","2",,Vanino,Russia,Russia,49.08732545890,140.24248856500,"18618","6",7.0
"8","2",,Omchak,Russia,Russia,61.63327801430,147.91669714300,"10","1",7.0
"8","2",,Uglegorsk,Russia,Russia,49.08334637360,142.03333532600,"12669","6",7.0
"8","2",,Kholmsk,Russia,Russia,47.04732077950,142.06237748100,"32911","7",7.0
"8","2",,Vicente Guerrero,Mexico,Mexico,30.76405112610,-116.00926029600,"12829","6",7.0
"8","2",,Loreto,Mexico,Mexico,26.01333335270,-111.35166345400,"11227","6",7.0
"8","2",,Ciudad Constitucion,Mexico,Mexico,25.04000775040,-111.65999088700,"39915","7",7.0
"8","2",,Allende,Mexico,Mexico,28.32998781230,-100.84997888400,"19636","6",7.0
"8","2",,Nueva Rosita,Mexico,Mexico,27.94995932920,-101.21998213900,"36642","7",7.0
"8","2",,Hidalgo del Parral,Mexico,Mexico,26.93335471500,-105.66663578500,"103378","9",7.0
"8","2",,Ascension,Mexico,Mexico,31.10002545070,-107.97998295300,"11781","6",7.0
"8","2",,Gomez Palacio,Mexico,Mexico,25.57005291650,-103.50002384600,"399328","10",7.0
"8","2",,Canatlan,Mexico,Mexico,24.51998781230,-104.77999739800,"10342","6",7.0
"8","2",,Villa Union,Mexico,Mexico,23.19999086400,-106.23003808800,"15443","6",7.0
"8","2",,Altata,Mexico,Mexico,24.63604509440,-107.91621531700,"1000","2",7.0
"8","2",,Esperanza,Mexico,Mexico,27.58000775050,-109.92999312500,"3836","4",7.0
"8","2",,Magdalena,Mexico,Mexico,30.61661826480,-111.04995060400,"23359","7",7.0
"8","2",Nacozari Viejo,Nacozari de Garcia,Mexico,Mexico,30.42001527810,-109.64998437700,"11872","6",7.0
"8","2",,Villanueva,Mexico,Mexico,22.35001690570,-102.88001001200,"11138","6",7.0
"8","2",,Montemorelos,Mexico,Mexico,25.18999859520,-99.83998885270,"42640","7",7.0
"8","2",,Sabinas Hidalgo,Mexico,Mexico,26.51002138160,-100.17996810100,"32047","7",7.0
"8","2",,Cardenas,Mexico,Mexico,22.00001242980,-99.66999922870,"15331","6",7.0
"8","2",,Ciudad Valles,Mexico,Mexico,21.97998781230,-99.02001306330,"114964","9",7.0
"8","2",,Rio Verde,Mexico,Mexico,21.92999086400,-99.98000614600,"69613","8",7.0
"8","2",,Ciudad Mante,Mexico,Mexico,22.73335268040,-98.95001733580,"79981","8",7.0
"8","2",,Reynosa,Mexico,Mexico,26.07999595030,-98.30003117040,"498654","10",7.0
"8","2",,Ciudad Madero,Mexico,Mexico,22.31890769350,-97.83610599950,"192736","9",7.0
"8","2",,Autlan,Mexico,Mexico,19.77001934710,-104.36999658400,"47669","7",7.0
"8","2",,Ciudad Hidalgo,Mexico,Mexico,19.67997316380,-100.56999597300,"64154","8",7.0
"8","2",,Apatzingan,Mexico,Mexico,19.07998394670,-102.35001652200,"98422","8",7.0
"8","2",,Santiago Ixcuintla,Mexico,Mexico,21.81999757790,-105.22004805700,"18365","6",7.0
"8","2",,Juchitan,Mexico,Mexico,16.42999066060,-95.01999882180,"67637","8",7.0
